54b - Razão de mamografia de rastreamento em mulheres de 50 a 69 anos SUS dependentes
Razão ex mamo pop SUS dep  por Município e Ano
Período:2010-2022
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"350580 Bastos";0,36;0,46;0,60;0,66;0,46;0,43;0,64;0,75;0,75;0,79;0,47;0,48;0,82;0,60
"350590 Batatais";0,29;0,31;0,40;0,35;0,28;0,13;0,31;0,41;0,34;0,32;0,29;0,45;0,47;0,34
"350600 Bauru";0,35;0,37;0,23;0,07;0,33;0,39;0,29;0,26;0,35;0,38;0,25;0,36;0,29;0,30
"350610 Bebedouro";0,35;0,52;0,50;0,64;0,62;0,62;0,63;0,63;0,59;0,58;0,11;0,04;0,70;0,50
"350620 Bento de Abreu";0,34;0,39;0,68;1,86;0,42;1,33;0,25;1,27;0,24;1,41;0,21;0,26;1,23;0,74
"350630 Bernardino de Campos";0,31;0,44;0,41;0,56;0,43;0,19;0,32;0,42;0,60;0,24;0,32;0,33;0,16;0,36
"350635 Bertioga";0,24;0,56;0,25;0,43;0,41;0,44;0,26;0,10;0,40;0,37;0,25;0,31;0,38;0,34
"350640 Bilac";0,26;0,22;0,90;0,33;1,03;0,40;0,80;0,33;0,87;0,11;0,17;0,19;0,75;0,49
"350650 Birigui";0,09;0,18;0,29;0,36;0,29;0,30;0,24;0,14;0,13;0,31;0,27;0,28;0,49;0,27
"350660 Biritiba-Mirim";0,21;0,13;0,24;0,11;0,43;0,25;0,32;0,31;0,27;0,30;0,19;0,18;0,23;0,25
"350670 Boa Esperança do Sul";0,14;0,34;0,30;0,27;0,45;0,34;0,37;0,68;0,30;0,44;0,33;0,20;0,38;0,35
"350680 Bocaina";0,38;0,32;0,33;0,25;0,42;0,26;0,30;0,36;0,26;0,31;0,15;0,34;0,20;0,29
"350690 Bofete";0,49;0,53;0,54;0,54;0,78;0,64;0,76;0,58;0,36;0,61;0,05;0,03;0,17;0,45
"350700 Boituva";0,48;0,49;0,50;0,35;0,28;0,02;0,18;0,19;0,39;0,28;0,12;0,09;0,22;0,25
"350710 Bom Jesus dos Perdões";0,57;0,62;0,65;0,57;0,72;0,44;0,81;0,74;0,55;0,54;0,46;0,58;0,63;0,60
"350715 Bom Sucesso de Itararé";0,23;0,21;0,23;0,23;0,32;0,41;0,34;0,42;1,11;0,21;0,22;0,16;0,38;0,35
"350720 Borá";0,82;0,62;0,76;0,61;1,00;0,95;0,51;0,73;0,84;1,11;0,51;0,41;0,52;0,71
"350730 Boracéia";0,15;0,33;0,26;0,20;0,42;0,22;0,40;0,31;0,27;0,25;0,16;0,23;0,23;0,26
"350740 Borborema";0,15;0,41;0,39;0,47;0,26;0,39;0,54;0,57;0,52;0,54;0,33;0,34;0,39;0,41
"350745 Borebi";0,48;0,43;0,45;0,69;0,29;0,40;0,46;0,55;0,44;0,14;0,09;0,27;0,07;0,35
"350750 Botucatu";0,65;0,61;0,62;0,48;0,68;0,59;0,63;0,51;0,53;0,68;0,59;0,56;0,58;0,59
"350760 Bragança Paulista";0,51;0,66;0,71;0,64;0,52;0,44;0,58;0,77;0,58;0,40;0,39;0,41;0,36;0,52
"350770 Braúna";0,25;1,71;0,02;1,20;0,26;0,12;1,25;0,13;1,25;0,06;0,08;1,06;0,10;0,57
"350775 Brejo Alegre";0,03;2,01;0,29;0,72;1,05;0,49;1,34;0,65;1,04;0,21;0,25;1,30;0,27;0,74
"350780 Brodowski";0,55;0,50;0,75;0,70;0,75;0,66;0,60;0,68;0,48;0,62;0,32;0,42;0,48;0,56
"350790 Brotas";0,31;0,31;0,29;0,29;0,38;0,30;0,39;0,28;0,26;0,30;0,12;0,23;0,20;0,28
"350800 Buri";0,21;0,16;0,23;0,24;0,35;0,35;0,31;0,34;0,30;0,23;0,15;0,15;0,31;0,26
"350810 Buritama";0,26;0,38;1,31;0,36;1,30;0,28;1,46;0,16;1,20;0,06;0,09;1,07;0,28;0,62
"350820 Buritizal";0,68;1,07;0,73;0,93;1,03;1,04;0,69;0,49;0,84;0,77;0,23;0,29;0,65;0,71
"350830 Cabrália Paulista";0,17;0,10;0,27;0,32;0,34;0,45;0,25;0,27;0,29;0,22;0,30;0,49;0,59;0,32
"350840 Cabreúva";0,04;0,31;0,23;0,39;0,46;0,39;0,65;0,40;0,39;0,50;0,30;0,35;0,54;0,40
"350850 Caçapava";0,57;0,62;0,62;0,62;0,64;0,43;0,49;0,55;0,64;0,22;0,35;0,41;0,59;0,51
"350860 Cachoeira Paulista";0,16;0,27;0,24;0,19;0,24;0,46;0,27;0,37;0,31;0,30;0,15;0,19;0,20;0,26
"350870 Caconde";0,24;0,60;0,62;0,63;0,60;0,57;0,61;0,56;0,48;0,52;0,36;0,39;0,64;0,52
"350880 Cafelândia";0,08;0,13;0,19;0,24;0,29;0,23;0,25;0,26;0,24;0,26;0,10;0,21;0,35;0,22
"350890 Caiabu";0,19;0,45;0,49;0,56;0,78;0,49;0,59;0,30;0,18;0,32;0,22;0,34;0,48;0,41
"350900 Caieiras";0,38;0,35;0,45;0,50;0,59;0,39;0,26;0,08;0,38;0,50;0,13;0,26;0,54;0,36
"350910 Caiuá";0,29;0,39;0,60;0,68;0,67;0,35;0,40;0,42;0,21;0,30;0,07;0,09;0,09;0,34
"350920 Cajamar";0,56;0,62;0,76;0,59;0,61;0,52;0,49;0,52;0,51;0,71;0,24;0,45;0,56;0,54
"350925 Cajati";0,35;0,51;0,60;0,47;0,47;0,48;0,49;0,38;0,39;0,37;0,18;0,28;0,40;0,41
"350930 Cajobi";0,37;0,63;0,52;0,71;0,62;0,67;0,65;0,50;0,63;0,54;0,07;0,75;0,59;0,56
"350940 Cajuru";0,41;0,45;0,50;0,54;0,55;0,54;0,74;0,58;0,58;0,46;0,25;0,28;0,03;0,45
"350945 Campina do Monte Alegre";0,86;0,51;0,56;0,51;0,34;0,47;0,32;0,44;0,34;0,63;0,29;0,14;0,31;0,41
"350950 Campinas";0,53;0,58;0,62;0,69;0,52;0,54;0,55;0,56;0,41;0,52;0,18;0,33;0,39;0,48
"350960 Campo Limpo Paulista";0,15;0,38;0,31;0,42;0,50;0,38;0,25;0,24;0,38;0,40;0,22;0,22;0,29;0,32
"350970 Campos do Jordão";0,43;0,53;0,51;0,45;0,36;0,37;0,49;0,47;0,64;0,46;0,34;0,34;0,35;0,44
"350980 Campos Novos Paulista";0,17;0,38;0,24;0,31;0,35;0,30;0,37;0,26;0,22;0,39;0,07;0,12;0,29;0,26
"350990 Cananéia";0,18;0,65;0,44;0,36;0,46;0,59;0,47;0,26;0,28;0,39;0,20;0,14;0,37;0,36
"350995 Canas";0,12;0,34;0,31;0,19;0,41;0,25;0,20;1,13;0,16;0,11;0,09;0,12;0,26;0,28
"351000 Cândido Mota";0,23;0,27;0,34;0,41;0,43;0,53;0,66;0,31;0,58;0,37;0,20;0,09;0,23;0,35
"351010 Cândido Rodrigues";0,14;0,73;0,87;0,93;0,84;0,60;0,08;0,24;0,23;0,59;0,42;0,12;0,21;0,44
"351015 Canitar";0,13;0,09;0,07;0,48;0,21;0,12;0,20;0,24;0,25;0,32;0,27;0,13;0,24;0,22
"351020 Capão Bonito";0,21;0,29;0,27;0,31;0,24;0,31;0,18;0,15;0,38;0,39;0,19;0,26;0,24;0,26
"351030 Capela do Alto";0,09;0,42;0,31;0,33;0,25;0,24;0,25;0,30;0,11;0,19;0,12;0,15;0,09;0,21
"351040 Capivari";0,33;0,39;0,54;0,45;0,53;0,48;0,42;0,29;0,41;0,33;0,16;0,19;0,13;0,34
"351050 Caraguatatuba";0,48;0,23;0,74;0,66;0,50;0,54;0,63;0,61;0,60;0,52;0,37;0,35;0,56;0,52
"351060 Carapicuíba";0,05;0,32;0,29;0,26;0,28;0,37;0,30;0,30;0,31;0,25;0,20;0,22;0,29;0,27
"351070 Cardoso";0,97;0,57;0,85;0,47;1,09;0,36;1,02;0,46;1,24;0,28;0,22;0,96;0,23;0,66
"351080 Casa Branca";0,35;0,45;0,40;0,65;0,51;0,59;0,45;0,40;0,41;0,42;0,34;0,37;0,43;0,44
"351090 Cássia dos Coqueiros";0,51;0,72;0,73;0,64;0,71;0,75;0,65;1,15;0,50;0,65;0,28;0,32;0,12;0,58
"351100 Castilho";0,29;0,63;1,32;0,29;1,04;0,34;1,06;0,17;0,93;0,19;0,11;0,10;0,74;0,54
"351110 Catanduva";0,50;0,46;0,57;0,62;0,63;0,52;0,56;0,58;0,51;0,48;0,29;0,37;0,42;0,50
"351120 Catiguá";0,30;0,35;0,44;0,65;0,86;0,64;0,48;0,89;0,61;0,56;0,40;0,20;0,43;0,52
"351130 Cedral";0,52;0,31;0,61;0,52;0,55;0,44;0,51;0,40;0,46;0,50;0,26;0,35;0,31;0,43
"351140 Cerqueira César";0,25;0,48;0,38;0,32;0,33;0,32;0,29;0,31;0,51;0,23;0,10;0,14;0,12;0,28
"351150 Cerquilho";0,08;0,37;0,40;0,53;0,51;0,43;0,29;0,28;0,10;0,27;0,03;0,04;0,11;0,26
"351160 Cesário Lange";0,23;0,34;0,47;0,52;0,44;0,44;0,38;0,25;0,23;0,45;0,21;0,20;0,21;0,33
"351170 Charqueada";0,11;0,34;0,51;0,65;0,68;0,54;0,48;0,35;0,41;0,36;0,21;0,29;0,34;0,40
"355720 Chavantes";0,19;0,30;0,41;0,45;0,45;0,37;0,37;0,65;0,24;0,36;0,30;0,19;0,21;0,34
"351190 Clementina";0,20;1,76;0,05;0,71;0,78;1,07;0,33;0,33;1,33;0,28;0,32;1,18;0,29;0,66
"351200 Colina";0,98;0,59;0,49;0,87;1,13;1,15;0,76;0,94;0,69;0,66;0,15;0,08;0,93;0,71
"351210 Colômbia";0,35;0,87;0,52;1,15;0,65;0,84;0,70;0,59;0,63;0,63;0,06;0,69;0,47;0,62
"351220 Conchal";0,30;0,61;0,66;0,64;0,66;0,59;0,49;0,60;0,52;0,50;0,23;0,45;0,43;0,50
"351230 Conchas";0,18;0,11;0,19;0,25;0,34;0,24;0,38;0,19;0,35;0,23;0,05;0,04;0,16;0,21
"351240 Cordeirópolis";0,16;0,37;0,40;0,45;0,53;0,49;0,61;0,51;0,58;0,77;0,30;0,37;0,44;0,47
"351250 Coroados";0,21;1,75;0,11;0,27;1,31;0,47;0,41;1,32;0,13;1,01;0,24;0,16;1,28;0,67
"351260 Coronel Macedo";0,17;0,33;0,30;0,28;0,53;0,24;0,22;0,33;0,30;0,45;0,21;0,20;0,23;0,29
"351270 Corumbataí";0,14;0,26;0,55;0,46;0,64;0,47;0,42;0,56;0,48;0,30;0,34;0,35;0,45;0,42
"351280 Cosmópolis";0,27;0,27;0,36;0,31;0,28;0,27;0,14;0,02;0,25;0,02;0,01;0,02;0,37;0,19
"351290 Cosmorama";1,34;0,56;1,10;0,30;1,17;0,26;1,33;0,18;1,08;0,24;0,25;0,79;0,29;0,67
"351300 Cotia";0,43;0,53;0,56;0,49;0,44;0,44;0,53;0,39;0,49;0,35;0,19;0,19;0,34;0,39
"351310 Cravinhos";0,31;0,37;0,34;0,35;0,26;0,04;0,15;0,31;0,30;0,29;0,21;0,18;0,26;0,25
"351320 Cristais Paulista";0,27;0,42;0,40;0,52;0,63;0,62;0,25;0,35;0,36;0,21;0,33;0,23;0,32;0,37
"351330 Cruzália";0,55;0,89;0,89;0,72;0,71;0,54;0,74;1,26;0,44;0,65;0,33;0,49;0,35;0,65
"351340 Cruzeiro";0,43;0,18;0,31;0,29;0,12;0,05;0,30;0,09;0,10;0,21;0,09;0,09;0,04;0,16
"351350 Cubatão";0,87;0,73;0,42;0,57;0,65;0,69;0,47;0,36;0,57;0,59;0,32;0,45;0,54;0,54
"351360 Cunha";0,12;0,19;0,24;0,16;0,28;0,14;0,08;0,17;0,24;0,41;0,07;0,07;0,36;0,20
"351370 Descalvado";0,17;0,53;0,49;0,63;0,61;0,46;0,57;0,47;0,46;0,50;0,25;0,37;0,74;0,48
"351380 Diadema";0,58;0,61;0,56;0,65;0,76;0,65;0,56;0,42;0,23;0,17;0,15;0,23;0,29;0,42
"351385 Dirce Reis";1,72;0,55;1,56;0,33;1,49;0,24;0,31;1,19;0,28;1,20;0,16;1,09;0,16;0,77
"351390 Divinolândia";0,24;0,56;0,87;0,86;0,59;0,56;0,50;0,53;0,42;0,36;0,34;0,24;0,48;0,49
"351400 Dobrada";0,33;0,25;0,37;0,46;0,50;0,45;0,42;0,45;0,58;0,69;0,31;0,33;0,44;0,43
"351410 Dois Córregos";0,23;0,28;0,24;0,18;0,32;0,21;0,29;0,20;0,24;0,18;0,07;0,17;0,14;0,21
"351420 Dolcinópolis";0,42;1,05;0,30;1,06;0,39;1,13;0,24;1,28;0,20;0,63;0,14;0,24;1,03;0,62
"351430 Dourado";0,06;0,12;0,26;0,32;0,38;0,32;0,30;0,42;0,35;0,43;0,23;0,14;0,41;0,29
"351440 Dracena";0,59;0,54;0,66;0,72;0,70;0,62;0,68;0,60;0,58;0,63;0,31;0,60;0,56;0,60
"351450 Duartina";0,43;0,45;0,59;0,56;0,51;0,52;0,76;0,59;0,29;0,19;0,35;0,37;0,50;0,46
"351460 Dumont";0,15;0,18;0,19;0,31;0,77;0,31;0,43;0,32;0,39;0,31;0,07;0,25;0,21;0,29
"351470 Echaporã";0,10;0,70;0,37;0,59;0,57;0,17;0,42;0,22;0,35;0,20;0,16;0,21;0,43;0,34
"351480 Eldorado";0,28;0,33;0,50;0,37;0,35;0,40;0,47;0,35;0,26;0,27;0,19;0,23;0,32;0,33
"351490 Elias Fausto";0,38;0,48;0,48;0,40;0,50;0,38;0,34;0,27;0,33;0,23;0,15;0,16;0,55;0,35
"351492 Elisiário";0,56;0,43;0,64;0,62;0,82;0,59;0,70;0,75;0,51;0,67;0,32;0,49;0,68;0,60
"351495 Embaúba";1,06;0,52;0,36;0,56;0,34;0,45;0,45;0,49;0,41;0,54;0,33;0,27;0,70;0,49
"351500 Embu das Artes";0,31;0,45;0,43;0,48;0,48;0,43;0,48;0,47;0,43;0,42;0,33;0,35;0,48;0,43
"351510 Embu-Guaçu";0,16;0,28;0,15;0,11;0,20;0,37;0,15;0,17;0,20;0,19;0,07;0,11;0,23;0,18
"351512 Emilianópolis";0,18;1,10;0,54;0,59;0,58;0,71;0,46;0,68;0,71;0,55;0,22;0,52;0,35;0,55
"351515 Engenheiro Coelho";0,12;0,58;0,54;0,53;0,38;0,42;0,52;0,53;0,47;0,39;0,17;0,31;0,16;0,37
"351518 Espírito Santo do Pinhal";0,10;0,17;0,33;0,24;0,38;0,34;0,30;0,30;0,55;0,29;0,32;0,24;0,26;0,30
"351519 Espírito Santo do Turvo";0,40;0,81;0,58;0,94;1,01;0,77;0,63;0,73;0,66;0,58;0,33;0,22;0,30;0,61
"355730 Estiva Gerbi";0,31;0,23;0,51;0,33;0,72;0,37;0,23;0,29;0,29;0,29;0,34;0,29;0,37;0,35
"351520 Estrela d'Oeste";0,21;1,03;0,27;0,94;0,57;0,88;0,64;1,05;0,21;0,40;0,56;0,14;1,16;0,62
"351530 Estrela do Norte";0,14;0,40;0,82;0,34;0,69;0,75;0,30;0,20;0,47;0,15;0,23;0,32;0,23;0,38
"351535 Euclides da Cunha Paulista";0,52;0,89;0,91;0,72;0,65;0,55;0,56;0,74;0,55;0,41;0,17;0,39;0,33;0,55
"351540 Fartura";0,28;0,38;0,41;0,42;0,46;0,23;0,15;0,47;0,47;0,37;0,25;0,23;0,59;0,36
"351560 Fernando Prestes";0,20;0,30;0,37;0,42;0,53;0,39;0,39;0,47;0,41;0,62;0,50;0,37;0,56;0,43
"351550 Fernandópolis";0,29;1,14;0,22;1,21;0,40;0,80;0,42;0,62;0,60;0,38;0,34;0,42;0,76;0,58
"351565 Fernão";0,44;1,64;1,17;1,09;1,06;0,91;0,99;0,68;1,26;0,66;0,75;1,13;0,92;0,97
"351570 Ferraz de Vasconcelos";0,18;0,43;0,31;0,18;0,18;0,21;0,08;0,13;0,24;0,17;0,10;0,20;0,25;0,20
"351580 Flora Rica";0,23;0,40;0,49;0,33;0,65;0,36;0,66;0,53;0,30;0,39;0,27;0,16;0,05;0,37
"351590 Floreal";0,14;0,34;0,96;0,23;1,43;1,42;0,31;0,29;1,36;0,40;0,21;1,15;0,23;0,66
"351600 Flórida Paulista";0,35;0,56;0,50;0,48;0,46;0,35;0,43;0,36;0,45;0,42;0,31;0,36;0,36;0,41
"351610 Florínia";0,24;0,35;0,49;0,40;0,39;0,37;0,20;0,45;0,40;0,29;0,32;0,42;0,52;0,37
"351620 Franca";0,48;0,54;0,48;0,50;0,55;0,45;0,47;0,37;0,41;0,44;0,27;0,31;0,47;0,43
"351630 Francisco Morato";0,40;0,29;0,51;0,45;0,49;0,34;0,15;0,50;0,39;0,38;0,19;0,33;0,32;0,36
"351640 Franco da Rocha";0,46;0,47;0,39;0,46;0,52;0,45;0,38;0,40;0,45;0,38;0,06;0,18;0,11;0,34
"351650 Gabriel Monteiro";0,16;0,63;1,74;0,27;1,66;0,24;1,73;0,13;1,85;0,28;0,36;1,27;0,15;0,80
