54b - Razão de mamografia de rastreamento em mulheres de 50 a 69 anos SUS dependentes
Razão ex mamo pop SUS dep  por Município e Ano
Período:2010-2022
"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"Total"
"353520 Palmeira d'Oeste";1,31;0,24;1,21;0,11;0,62;1,00;0,17;1,15;0,24;1,20;0,09;1,14;0,20;0,66
"353530 Palmital";0,14;0,40;0,34;0,42;0,41;0,38;0,39;0,35;0,33;0,36;0,16;0,22;0,48;0,34
"353540 Panorama";0,29;0,36;0,43;0,55;0,45;0,37;0,62;0,47;0,42;0,52;0,29;0,41;0,38;0,43
"353550 Paraguaçu Paulista";0,33;0,44;0,48;0,51;0,24;0,27;0,52;0,41;0,42;0,42;0,20;0,24;0,30;0,36
"353560 Paraibuna";0,18;0,49;0,51;0,43;0,39;0,38;0,24;0,46;0,37;0,37;0,25;0,22;0,45;0,36
"353570 Paraíso";0,52;0,53;0,72;0,79;0,67;0,54;0,55;0,73;0,51;0,53;0,35;0,42;0,54;0,56
"353580 Paranapanema";0,21;0,26;0,20;0,20;0,33;0,29;0,22;0,20;0,10;0,07;0,08;0,08;0,20;0,18
"353590 Paranapuã";0,47;1,16;0,23;1,06;0,18;1,17;0,21;1,32;0,09;0,94;0,03;0,13;1,06;0,61
"353600 Parapuã";0,16;0,43;0,36;0,47;0,57;0,30;0,48;0,52;0,49;0,42;0,36;0,60;0,64;0,46
"353610 Pardinho";0,38;0,54;0,57;0,47;0,72;0,61;0,68;0,55;0,31;0,36;0,23;0,18;0,34;0,44
"353620 Pariquera-Açu";0,39;0,88;0,66;0,48;0,57;0,70;0,50;0,46;0,39;0,31;0,36;0,25;0,36;0,47
"353625 Parisi";0,31;0,55;1,43;0,57;1,69;0,72;1,64;0,77;1,48;0,52;0,35;0,40;0,51;0,82
"353630 Patrocínio Paulista";0,06;0,13;0,16;0,52;0,51;0,48;0,46;0,33;0,35;0,35;0,13;0,16;0,45;0,32
"353640 Paulicéia";0,29;0,86;0,36;0,54;0,45;0,30;0,29;0,65;0,28;0,42;0,33;0,22;0,11;0,37
"353650 Paulínia";0,08;0,01;0,02;0,02;0,69;0,53;0,43;0,97;0,86;0,66;0,28;0,74;0,34;0,47
"353657 Paulistânia";0,14;0,26;0,20;0,28;0,36;0,27;0,20;0,24;0,18;0,34;0,70;0,37;0,25;0,30
"353660 Paulo de Faria";0,19;0,65;0,33;0,32;0,46;0,69;0,64;0,61;0,39;0,59;0,25;0,44;0,54;0,47
"353670 Pederneiras";0,21;0,15;0,27;0,25;0,29;0,31;0,29;0,28;0,10;0,17;0,19;0,46;0,27;0,25
"353680 Pedra Bela";0,43;0,51;0,57;0,49;0,54;0,46;0,41;0,51;0,43;0,42;0,30;0,37;0,33;0,44
"353690 Pedranópolis";0,54;1,48;0,53;1,72;0,63;1,40;0,60;1,62;0,41;0,51;0,99;0,17;1,21;0,89
"353700 Pedregulho";0,21;0,38;0,27;0,40;0,66;0,46;0,33;0,41;0,37;0,46;0,24;0,16;0,21;0,35
"353710 Pedreira";0,20;0,41;0,45;0,39;0,12;0,13;0,09;0,43;0,46;0,53;0,35;0,21;0,47;0,33
"353715 Pedrinhas Paulista";0,34;0,42;0,65;0,46;0,95;0,78;1,01;0,60;0,50;0,81;0,63;0,36;0,48;0,62
"353720 Pedro de Toledo";0,25;0,38;0,28;0,34;0,28;0,44;0,25;0,17;0,28;0,24;0,12;0,14;0,15;0,24
"353730 Penápolis";0,37;1,83;0,13;1,50;0,17;1,54;0,09;0,94;0,62;0,02;1,09;0,02;0,94;0,70
"353740 Pereira Barreto";0,36;0,37;0,98;0,70;0,42;1,15;0,29;1,17;0,21;1,13;0,08;1,20;0,17;0,63
"353750 Pereiras";0,19;0,14;0,17;0,22;0,38;0,23;0,34;0,17;0,91;0,09;0,05;0,02;0,08;0,23
"353760 Peruíbe";0,40;0,46;0,16;0,27;0,38;0,44;0,41;0,34;0,33;0,19;0,23;0,10;0,39;0,31
"353770 Piacatu";0,26;0,45;1,62;0,29;1,42;0,22;1,58;0,16;1,57;0,08;0,11;0,53;0,14;0,64
"353780 Piedade";0,20;0,26;0,24;0,22;0,25;0,22;0,12;0,32;0,12;0,22;0,06;0,10;0,14;0,18
"353790 Pilar do Sul";0,16;0,32;0,35;0,35;0,28;0,28;0,22;0,21;0,21;0,44;0,10;0,15;0,16;0,24
"353800 Pindamonhangaba";0,57;0,61;0,55;0,55;0,45;0,57;0,59;0,24;0,46;0,32;0,32;0,41;0,30;0,44
"353810 Pindorama";0,26;0,34;0,49;0,55;0,50;0,46;0,39;0,58;0,38;0,47;0,36;0,21;0,48;0,42
"353820 Pinhalzinho";0,37;0,51;0,58;0,50;0,56;0,43;0,56;0,61;0,58;0,51;0,36;0,43;0,40;0,49
"353830 Piquerobi";0,07;0,25;0,33;0,49;0,49;0,35;0,43;0,47;0,35;0,38;0,07;0,08;0,08;0,29
"353850 Piquete";0,12;0,30;0,16;0,14;0,22;0,22;0,24;0,52;0,17;0,15;0,19;0,09;0,12;0,20
"353860 Piracaia";0,24;0,38;0,41;0,39;0,38;0,40;0,44;0,68;0,43;0,36;0,33;0,34;0,37;0,40
"353870 Piracicaba";0,10;0,43;0,57;0,61;0,73;0,57;0,50;0,61;0,52;0,84;0,48;0,64;0,36;0,54
"353880 Piraju";0,32;0,59;0,52;0,89;0,70;0,72;0,80;0,68;0,48;0,41;0,29;0,44;0,34;0,55
"353890 Pirajuí";0,05;0,12;0,13;0,07;0,16;0,32;0,24;0,15;0,33;0,15;0,13;0,12;0,19;0,17
"353900 Pirangi";0,34;0,43;0,64;0,52;0,59;0,49;0,43;0,60;0,44;0,50;0,34;0,27;0,56;0,47
"353910 Pirapora do Bom Jesus";0,11;0,25;0,31;0,38;0,29;0,32;0,34;0,31;0,29;0,26;0,16;0,26;0,26;0,27
"353920 Pirapozinho";0,09;0,45;0,43;0,38;0,58;0,65;0,55;0,46;0,46;0,45;0,14;0,32;0,38;0,41
"353930 Pirassununga";0,27;0,25;0,42;0,25;0,33;0,23;0,29;0,40;0,16;0,04;0,01;0,07;0,06;0,20
"353940 Piratininga";0,15;0,27;0,12;0,13;0,23;0,24;0,24;0,31;0,18;0,23;0,17;0,26;0,36;0,23
"353950 Pitangueiras";0,41;0,33;0,39;0,41;0,36;0,50;0,47;0,45;0,42;0,49;0,36;0,37;0,39;0,41
"353960 Planalto";0,30;0,34;0,58;0,38;0,77;0,62;0,81;0,84;0,97;0,65;0,42;0,72;0,83;0,63
"353970 Platina";0,22;0,30;0,29;0,40;0,33;0,21;0,28;0,47;0,30;0,47;0,20;0,18;0,32;0,31
"353980 Poá";0,20;0,41;0,46;0,48;0,22;0,36;0,28;0,37;0,62;0,67;0,23;0,12;0,23;0,36
"353990 Poloni";0,32;0,28;0,35;0,29;0,51;0,56;0,49;0,74;0,60;0,62;0,52;0,53;0,64;0,50
"354000 Pompéia";0,22;0,42;0,68;0,57;0,64;0,44;0,68;0,43;0,64;0,35;0,07;0,07;0,09;0,39
"354010 Pongaí";0,19;0,26;0,32;0,39;0,31;0,36;0,28;0,19;0,31;0,22;0,19;0,29;0,46;0,29
"354020 Pontal";0,15;0,09;0,31;0,41;0,45;0,41;0,39;0,35;0,36;0,43;0,07;0,23;0,15;0,29
"354025 Pontalinda";1,59;0,45;0,33;1,27;0,59;1,10;0,35;1,16;0,27;1,27;0,10;1,29;0,21;0,76
"354030 Pontes Gestal";1,45;0,29;1,39;0,38;1,26;0,18;1,73;0,16;1,28;0,22;0,42;1,08;0,30;0,76
"354040 Populina";0,39;1,20;0,20;1,32;0,19;1,41;0,14;1,31;0,07;0,74;0,07;0,08;1,21;0,64
"354050 Porangaba";0,32;0,46;0,26;0,35;0,35;0,24;0,37;0,30;0,12;0,21;0,06;0,04;0,21;0,24
"354060 Porto Feliz";0,21;0,15;0,06;0,31;0,23;0,20;0,17;0,11;0,07;0,05;0,02;0,03;0,06;0,12
"354070 Porto Ferreira";0,15;0,53;0,50;0,45;0,52;0,25;0,33;0,30;0,60;0,39;0,25;0,25;0,41;0,37
"354075 Potim";0,25;0,27;0,33;0,16;0,18;0,10;0,27;0,19;0,20;0,18;0,10;0,08;0,19;0,19
"354080 Potirendaba";0,37;0,32;0,63;0,43;0,53;0,30;0,42;0,56;0,45;0,55;0,23;0,24;0,24;0,40
"354085 Pracinha";0,76;0,53;0,88;0,81;0,88;0,63;0,74;0,68;0,42;3,69;0,50;0,48;0,58;0,89
"354090 Pradópolis";0,37;0,34;0,38;0,50;0,20;0,11;0,04;0,20;0,11;0,19;0,08;0,02;0,62;0,24
"354100 Praia Grande";0,22;0,53;0,45;0,39;0,65;0,48;0,56;0,50;0,47;0,45;0,34;0,46;0,55;0,47
"354105 Pratânia";0,20;0,40;0,32;0,53;0,76;0,57;0,62;0,53;0,27;0,34;0,18;0,15;0,38;0,40
"354110 Presidente Alves";0,21;0,19;0,27;0,26;0,17;0,33;0,48;0,20;0,14;0,09;0,01;0,11;0,04;0,19
"354120 Presidente Bernardes";0,13;0,40;0,43;0,26;0,75;0,46;0,25;0,51;0,45;0,48;0,22;0,26;0,41;0,38
"354130 Presidente Epitácio";0,41;0,46;0,46;0,36;0,36;0,38;0,35;0,23;0,16;0,23;0,05;0,10;0,16;0,27
"354140 Presidente Prudente";0,31;0,44;0,50;0,38;0,38;0,70;0,49;0,45;0,53;0,75;0,48;0,40;0,44;0,48
"354150 Presidente Venceslau";0,20;0,31;0,50;0,46;0,63;0,49;0,46;0,43;0,21;0,26;0,10;0,08;0,17;0,32
"354160 Promissão";0,44;0,58;0,47;0,50;0,64;0,57;0,55;0,59;0,56;0,53;0,30;0,47;0,70;0,53
"354165 Quadra";0,03;0,60;0,82;0,66;0,75;0,66;0,50;0,80;0,52;0,59;0,26;0,41;0,08;0,51
"354170 Quatá";0,38;0,52;0,54;0,47;0,72;0,55;0,50;0,85;0,73;0,69;0,47;0,64;0,51;0,59
"354180 Queiroz";0,14;0,20;0,22;0,58;0,34;0,48;0,35;0,28;0,56;0,46;0,23;0,34;0,53;0,37
"354190 Queluz";0,19;0,39;0,31;0,32;0,24;0,30;0,18;0,23;0,08;0,10;0,06;0,06;0,08;0,19
"354200 Quintana";0,52;0,91;0,79;0,72;0,78;0,61;0,52;0,77;0,42;1,20;0,33;0,40;0,59;0,65
"354210 Rafard";0,19;0,40;0,40;0,43;0,66;0,41;0,43;0,46;0,48;0,26;0,22;0,23;0,25;0,37
"354220 Rancharia";0,52;0,61;0,61;0,49;0,78;0,71;0,71;0,75;0,78;0,76;0,38;0,61;0,61;0,64
"354230 Redenção da Serra";0,29;0,62;0,49;0,45;0,59;0,39;0,55;0,44;0,47;0,39;0,19;0,21;0,24;0,39
"354240 Regente Feijó";0,59;0,75;0,70;0,74;0,92;0,87;0,96;0,89;0,68;0,98;0,38;0,64;0,56;0,74
"354250 Reginópolis";0,20;0,24;0,28;0,35;0,38;0,52;0,42;0,44;0,31;0,16;0,30;0,39;0,38;0,34
"354260 Registro";0,32;0,64;0,53;0,38;0,56;0,54;0,73;0,40;0,36;0,27;0,22;0,34;0,33;0,42
"354270 Restinga";0,09;0,18;0,24;0,33;0,65;0,55;0,30;0,13;0,28;0,38;0,26;0,26;0,72;0,34
"354280 Ribeira";0,16;0,10;0,29;0,06;0,11;2,76;0,13;0,15;0,04;0,28;0,83;0,07;0,02;0,38
"354290 Ribeirão Bonito";0,22;0,33;0,42;0,35;0,46;0,35;0,38;0,84;0,25;0,37;0,49;0,23;0,30;0,38
"354300 Ribeirão Branco";0,20;0,24;0,54;0,27;0,38;0,34;0,27;0,30;0,27;0,17;0,08;0,12;0,59;0,29
"354310 Ribeirão Corrente";0,23;0,36;0,46;0,50;0,57;0,71;0,50;0,97;0,35;0,46;0,37;0,32;0,59;0,49
"354320 Ribeirão do Sul";0,21;0,32;0,40;0,44;0,51;0,58;0,65;0,63;0,49;0,68;0,34;0,47;0,33;0,47
"354323 Ribeirão dos Índios";0,03;0,76;0,71;0,46;0,82;0,72;0,84;0,61;0,15;0,19;0,18;0,07;0,33;0,44
"354325 Ribeirão Grande";0,20;0,38;0,20;0,23;0,29;0,33;0,51;0,31;0,31;0,36;0,14;0,19;0,30;0,29
"354330 Ribeirão Pires";0,02;0,04;0,14;0,16;0,33;0,11;0,24;0,20;0,32;0,23;0,09;0,14;0,45;0,20
"354340 Ribeirão Preto";0,45;0,48;0,39;0,40;0,41;0,42;0,43;0,37;0,37;0,36;0,19;0,20;0,35;0,36
"354360 Rifaina";0,17;0,10;0,47;0,40;0,83;0,63;0,39;0,43;0,31;0,43;0,36;0,26;0,40;0,40
"354370 Rincão";0,27;0,32;0,41;0,36;0,45;0,35;0,36;0,85;0,35;0,51;0,28;0,28;0,53;0,41
"354380 Rinópolis";0,48;0,67;0,65;1,06;0,78;0,47;0,76;0,65;0,55;0,64;0,41;0,45;0,52;0,62
"354390 Rio Claro";0,34;0,46;0,63;0,48;0,58;0,30;0,42;0,41;0,42;0,36;0,17;0,30;0,29;0,39
"354400 Rio das Pedras";0,01;0,08;0,05;0,49;0,47;0,37;0,51;0,34;0,52;0,36;0,31;0,43;0,19;0,32
"354410 Rio Grande da Serra";0,01;0,08;0,08;0,06;0,47;0,18;0,29;0,24;0,20;0,18;0,20;0,02;0,08;0,16
"354420 Riolândia";0,87;0,28;1,13;0,23;1,28;0,13;1,35;0,21;1,36;0,37;0,83;0,24;0,85;0,70
"354350 Riversul";0,07;0,05;0,20;0,25;0,37;0,17;0,21;0,37;0,23;0,16;0,08;0,09;0,21;0,19
"354425 Rosana";0,64;0,66;0,87;0,82;0,91;0,89;0,69;0,54;0,44;0,47;0,35;0,40;0,40;0,60
"354430 Roseira";0,21;0,56;0,49;0,53;0,52;0,50;0,66;0,51;0,49;0,44;0,33;0,34;0,60;0,48
"354440 Rubiácea";0,47;0,46;0,74;1,18;0,45;1,18;0,27;1,09;0,22;0,92;0,17;0,11;0,13;0,55
"354450 Rubinéia";1,45;0,56;1,30;0,35;1,17;0,20;1,37;0,20;1,08;0,12;0,16;0,91;0,21;0,66
"354460 Sabino";0,27;0,47;0,63;0,88;0,90;0,62;0,62;0,72;0,59;0,38;0,20;0,24;0,52;0,53
"354470 Sagres";0,26;0,58;0,65;0,50;0,71;0,46;0,38;0,57;0,24;0,20;0,22;0,22;0,56;0,42
"354480 Sales";0,38;0,34;0,50;0,41;0,47;0,46;0,45;0,47;0,52;0,31;0,29;0,29;0,60;0,42
"354490 Sales Oliveira";0,07;0,50;0,11;0,54;0,81;0,51;0,82;0,59;0,49;0,62;0,37;0,63;0,86;0,54
"354500 Salesópolis";0,21;0,33;0,24;0,23;0,36;0,21;0,26;0,27;0,22;0,18;0,13;0,13;0,18;0,22
"354510 Salmourão";0,19;0,48;0,34;0,44;0,41;0,38;0,43;0,45;0,31;0,40;0,24;0,33;0,42;0,37
"354515 Saltinho";0,33;0,55;0,66;0,76;0,75;0,88;0,84;0,64;0,73;0,56;0,30;0,53;0,45;0,61
"354520 Salto";0,50;0,48;0,39;0,28;0,15;0,27;0,46;0,35;0,33;0,12;0,14;0,22;0,18;0,28
"354530 Salto de Pirapora";0,17;0,50;0,40;0,42;0,40;0,36;0,39;0,31;0,29;0,41;0,14;0,15;0,41;0,33
"354540 Salto Grande";0,43;0,41;0,48;0,51;0,45;0,55;0,56;0,41;0,52;0,48;0,30;0,31;0,18;0,42
"354550 Sandovalina";0,16;0,38;0,47;0,52;1,08;0,64;1,04;0,48;0,38;0,50;0,04;0,65;0,21;0,47
"354560 Santa Adélia";0,31;0,42;0,42;0,46;0,44;0,56;0,53;0,57;0,55;0,50;0,28;0,14;0,63;0,45
"354570 Santa Albertina";0,58;1,18;0,44;1,22;0,30;1,08;0,25;1,26;0,19;0,95;0,16;0,24;1,14;0,69
"354580 Santa Bárbara d'Oeste";0,47;0,46;0,48;0,64;0,50;0,40;0,46;0,34;0,47;0,48;0,12;0,28;0,42;0,41
"354600 Santa Branca";0,30;0,47;0,47;0,23;0,27;0,28;0,34;0,58;0,27;0,33;0,27;0,31;0,49;0,36
"354610 Santa Clara d'Oeste";1,48;0,28;1,37;0,26;1,34;0,16;0,35;1,68;0,17;1,33;0,12;0,21;1,57;0,79
"354620 Santa Cruz da Conceição";0,12;0,42;0,40;0,27;0,66;0,56;0,44;1,08;0,33;0,52;0,27;0,36;0,37;0,45
"354625 Santa Cruz da Esperança";0,07;0,32;0,26;0,63;0,51;0,49;0,52;0,61;0,70;0,42;0,28;0,32;0,10;0,41
"354630 Santa Cruz das Palmeiras";0,32;0,32;0,34;0,25;0,39;0,32;0,33;0,29;0,31;0,29;0,21;0,22;0,26;0,29
"354640 Santa Cruz do Rio Pardo";0,48;0,57;0,57;0,56;0,53;0,60;0,59;0,55;0,58;0,53;0,41;0,36;0,52;0,52
"354650 Santa Ernestina";0,30;0,39;0,34;0,26;0,28;0,36;0,26;0,25;0,35;0,43;0,32;0,12;0,28;0,30
"354660 Santa Fé do Sul";1,11;0,55;1,02;0,63;1,30;0,32;0,61;1,09;0,43;0,56;0,21;0,27;0,80;0,67
"354670 Santa Gertrudes";0,25;0,38;0,51;0,33;0,53;0,37;0,46;0,39;0,42;0,44;0,23;0,43;0,34;0,39
"354680 Santa Isabel";0,32;0,58;0,52;0,54;0,54;0,53;0,56;0,40;0,59;0,30;0,21;0,22;0,47;0,43
"354690 Santa Lúcia";0,31;0,38;0,48;0,36;0,39;0,41;0,37;0,84;0,29;0,37;0,23;0,14;0,21;0,36
"354700 Santa Maria da Serra";0,13;0,40;0,54;0,51;0,45;0,54;0,46;0,74;0,56;0,42;0,38;0,31;0,47;0,46
"354710 Santa Mercedes";0,56;0,52;0,46;0,76;0,65;0,53;0,72;0,62;0,33;0,60;0,51;0,25;0,10;0,49
"354740 Santa Rita d'Oeste";1,57;0,71;1,44;0,37;1,37;0,32;1,63;0,37;1,13;0,11;1,05;0,11;0,16;0,78
"354750 Santa Rita do Passa Quatro";0,07;0,20;0,20;0,23;0,36;0,29;0,26;0,36;0,35;0,32;0,15;0,14;0,29;0,25
"354760 Santa Rosa de Viterbo";0,43;0,40;0,33;0,29;0,54;0,50;0,49;0,55;0,54;0,42;0,36;0,37;0,36;0,43
"354765 Santa Salete";0,46;1,31;0,35;1,33;0,56;1,19;0,28;1,51;0,15;0,76;0,11;1,46;0,17;0,74
"354720 Santana da Ponte Pensa";0,62;0,94;0,66;0,85;0,56;1,00;0,54;1,16;0,55;1,44;0,48;1,00;0,67;0,81
"354730 Santana de Parnaíba";0,70;0,80;0,81;1,03;1,06;0,82;0,70;0,45;0,62;1,07;0,57;0,76;0,78;0,77
"354770 Santo Anastácio";0,12;0,37;0,37;0,42;0,52;0,56;0,44;0,40;0,16;0,59;0,14;0,24;0,40;0,36
"354780 Santo André";0,45;0,51;0,47;0,48;0,58;0,73;0,65;0,59;0,57;0,52;0,38;0,33;0,52;0,52
"354790 Santo Antônio da Alegria";0,17;0,35;0,27;0,59;0,46;0,48;0,51;0,71;0,42;0,46;0,27;0,22;0,30;0,40
"354800 Santo Antônio de Posse";0,46;0,38;0,54;0,45;0,42;0,35;0,43;0,34;0,28;0,49;0,20;0,26;0,40;0,38
"354805 Santo Antônio do Aracanguá";0,52;0,69;0,51;1,39;0,38;1,23;0,30;1,16;0,21;0,91;0,18;0,28;0,84;0,65
"354810 Santo Antônio do Jardim";0,19;0,21;0,35;0,28;0,43;0,38;0,39;0,48;0,29;0,36;0,34;0,20;0,95;0,38
"354820 Santo Antônio do Pinhal";0,25;0,38;0,31;0,30;0,21;0,34;1,38;0,47;0,93;0,38;0,21;0,33;0,32;0,45
"354830 Santo Expedito";0,60;0,69;0,66;0,52;0,73;0,90;0,67;0,62;0,05;0,03;0,01;0,01;0,05;0,40
"354840 Santópolis do Aguapeí";0,14;1,82;0,13;1,21;0,17;1,33;0,10;0,19;1,38;0,12;1,22;0,04;0,27;0,62
"354850 Santos";0,60;0,65;0,64;0,76;0,91;0,75;0,72;0,64;0,71;0,75;0,49;0,72;0,66;0,69
"354860 São Bento do Sapucaí";0,33;0,47;0,52;0,66;0,70;0,33;0,64;0,59;0,52;0,60;0,36;0,42;0,47;0,51
"354870 São Bernardo do Campo";0,76;0,76;0,72;0,74;0,77;0,65;0,61;0,66;0,47;0,53;0,42;0,63;0,59;0,62
"354880 São Caetano do Sul";2,79;1,00;0,92;0,68;0,90;0,66;0,85;0,83;0,89;0,80;0,64;1,00;0,18;0,82
"354890 São Carlos";0,34;0,69;0,61;0,59;0,68;0,57;0,52;0,48;0,50;0,43;0,27;0,26;0,38;0,47
"354900 São Francisco";1,99;0,23;1,53;0,19;0,38;1,44;0,22;1,75;0,22;1,70;0,08;1,42;0,11;0,86
"354910 São João da Boa Vista";0,42;0,40;0,50;0,50;0,54;0,49;0,53;0,53;0,49;0,59;0,32;0,35;0,54;0,48
"354920 São João das Duas Pontes";0,22;1,03;0,16;0,88;0,13;1,10;0,13;1,23;0,20;0,71;0,45;0,28;0,44;0,53
"354925 São João de Iracema";0,46;1,63;0,26;1,64;0,23;1,62;0,27;1,93;0,16;0,24;1,34;0,26;1,38;0,88
"354930 São João do Pau d'Alho";0,51;0,70;0,59;0,70;0,75;0,67;0,68;0,71;0,53;0,47;0,42;0,36;0,29;0,56
"354940 São Joaquim da Barra";0,34;0,35;0,32;0,53;0,43;0,52;0,60;0,57;0,55;0,57;0,29;0,35;0,37;0,45
"354950 São José da Bela Vista";0,17;0,23;0,23;0,29;0,67;0,43;0,51;0,27;0,42;0,45;0,34;0,28;0,44;0,37
"354960 São José do Barreiro";0,12;0,35;0,35;0,42;0,29;0,51;0,26;0,32;0,30;0,26;0,23;0,17;0,18;0,28
"354970 São José do Rio Pardo";0,02;0,42;0,49;0,76;0,33;0,36;0,43;0,30;0,33;0,35;0,27;0,28;0,34;0,35
"354980 São José do Rio Preto";0,64;0,70;0,69;0,65;0,54;0,48;0,61;0,54;0,51;0,51;0,18;0,24;0,47;0,50
"354990 São José dos Campos";0,70;0,76;0,71;0,70;0,95;0,82;0,78;0,88;0,83;0,63;0,61;0,68;0,74;0,75
"354995 São Lourenço da Serra";0,36;0,37;0,42;0,45;0,47;0,34;0,42;0,36;0,65;0,28;0,15;0,28;0,38;0,37
"355000 São Luís do Paraitinga";0,28;0,71;0,73;0,56;0,55;0,48;0,48;0,48;0,52;0,38;0,12;0,21;0,28;0,43
"355010 São Manuel";0,21;0,37;0,34;0,28;0,47;0,39;0,40;0,33;0,21;0,17;0,26;0,01;0,17;0,27
"355020 São Miguel Arcanjo";0,36;0,40;0,46;0,42;0,42;0,45;0,41;0,41;0,51;0,29;0,31;0,25;0,36;0,39
"355030 São Paulo";0,52;0,58;0,57;0,62;0,62;0,57;0,56;0,61;0,57;0,60;0,34;0,44;0,55;0,54
"355040 São Pedro";0,06;0,42;0,17;0,42;0,45;0,44;0,44;0,41;0,43;0,49;0,12;0,49;0,47;0,38
"355050 São Pedro do Turvo";-0,14;-0,44;-0,32;-0,85;-0,73;1,47;1,17;1,03;0,69;0,78;0,44;0,78;0,34;35,62
"355060 São Roque";0,31;0,31;0,46;0,33;0,39;0,49;0,40;0,31;0,37;0,38;0,19;0,25;0,39;0,35
"355070 São Sebastião";0,09;0,47;0,82;0,72;0,58;0,59;0,58;0,54;0,23;0,08;0,16;0,15;0,26;0,38
"355080 São Sebastião da Grama";0,28;0,53;0,62;0,65;0,72;0,63;0,60;0,68;0,41;0,46;0,44;0,43;0,51;0,53
"355090 São Simão";0,03;0,13;0,15;0,17;0,45;0,36;0,42;0,44;0,70;0,36;0,21;0,32;0,33;0,32
"355100 São Vicente";0,32;0,32;0,31;0,37;0,36;0,34;0,34;0,32;0,35;0,34;0,28;0,32;0,33;0,33
"355110 Sarapuí";0,15;0,17;0,26;0,32;0,31;0,30;0,36;0,29;0,27;0,27;0,18;0,33;0,36;0,28
"355120 Sarutaiá";0,19;0,24;0,32;0,42;0,26;0,12;0,13;0,27;0,34;0,27;0,11;0,19;0,33;0,24
"355130 Sebastianópolis do Sul";0,15;0,42;1,73;0,39;1,87;0,47;1,62;0,26;2,14;0,28;1,25;0,30;1,40;0,95
"355140 Serra Azul";0,25;0,22;0,18;0,12;0,29;0,62;0,54;0,61;0,61;0,62;0,24;0,43;0,53;0,42
"355160 Serra Negra";0,16;0,37;0,23;0,29;0,33;0,20;0,25;0,61;0,18;0,24;0,34;0,17;0,32;0,28
"355150 Serrana";0,71;0,26;0,21;0,03;0,30;0,25;0,20;0,34;0,25;0,51;0,25;0,41;0,23;0,30
"355170 Sertãozinho";0,33;0,75;0,73;0,70;0,81;0,59;0,52;0,68;0,53;0,19;0,01;0,31;0,60;0,49
"355180 Sete Barras";0,37;0,46;0,40;0,35;0,39;0,41;0,43;0,30;0,34;0,27;0,31;0,31;0,33;0,36
"355190 Severínia";1,01;0,82;0,98;1,25;0,88;0,80;0,82;0,80;0,76;0,69;0,02;0,81;0,67;0,77
"355200 Silveiras";0,32;0,44;0,51;0,50;0,75;0,55;0,39;0,63;0,51;0,34;0,28;0,28;0,06;0,42
"355210 Socorro";0,16;0,31;0,33;0,43;0,48;0,33;0,39;0,39;0,31;0,34;0,25;0,19;0,29;0,32
"355220 Sorocaba";0,61;0,56;0,57;0,53;0,62;0,43;0,48;0,17;0,54;0,42;0,22;0,25;0,35;0,42
"355230 Sud Mennucci";0,26;0,57;0,66;1,37;0,48;1,46;0,25;1,53;0,11;1,49;0,07;0,18;1,35;0,75
"355240 Sumaré";0,42;0,29;0,51;0,44;0,42;0,45;0,30;0,40;0,03;0,18;0,24;0,30;0,29;0,31
"355255 Suzanápolis";0,58;0,47;0,88;1,39;0,96;1,74;0,74;1,64;0,48;1,66;0,17;0,13;1,45;0,95
"355250 Suzano";0,45;0,50;0,42;0,39;0,33;0,45;0,36;0,24;0,20;0,22;0,12;0,12;0,40;0,31
"355260 Tabapuã";0,33;0,28;0,42;0,48;0,45;0,58;0,46;0,56;0,54;0,44;0,36;0,23;0,54;0,44
"355270 Tabatinga";0,30;0,36;0,36;0,35;0,37;0,37;0,93;0,42;0,41;0,57;0,26;0,24;0,34;0,41
"355280 Taboão da Serra";0,27;0,52;0,50;0,37;0,46;0,41;0,46;0,22;0,25;0,21;0,23;0,24;0,44;0,34
"355290 Taciba";0,06;0,31;0,41;0,41;0,56;0,58;0,33;0,69;0,19;0,22;0,02;0,03;0,05;0,28
"355300 Taguaí";0,32;0,40;0,46;0,44;0,51;0,31;0,12;0,27;0,42;0,38;0,35;0,29;0,38;0,35
"355310 Taiaçu";0,83;0,56;0,77;0,79;0,62;0,68;0,68;0,81;0,68;0,69;0,51;0,05;0,82;0,64
"355320 Taiúva";1,06;0,63;0,48;0,76;0,68;0,85;0,84;0,83;0,76;0,82;0,84;0,19;0,99;0,75
"355330 Tambaú";0,13;0,31;0,20;0,34;0,50;0,35;0,40;0,30;0,38;0,35;0,24;0,37;0,19;0,31
"355340 Tanabi";0,47;0,41;0,49;0,44;0,67;0,70;0,57;0,60;0,57;0,59;0,32;0,49;0,65;0,54
"355350 Tapiraí";0,28;0,33;0,46;0,38;0,44;0,30;0,31;0,40;0,26;0,50;0,08;0,22;0,38;0,33
"355360 Tapiratiba";0,18;0,39;0,78;0,61;0,70;0,71;0,59;0,67;0,65;0,61;0,31;0,38;0,44;0,54
"355365 Taquaral";1,34;0,67;1,35;1,03;1,05;1,12;1,09;1,09;1,07;1,15;0,91;0,19;1,55;1,04
"355370 Taquaritinga";0,11;0,31;0,30;0,39;0,49;0,47;0,46;0,44;0,47;0,39;0,28;0,37;0,55;0,39
